model,target_column,feature_columns,mse,r2,r,mae,rmse,start_date_train,end_date_train,start_date_test,end_date_test,epochs,batch_size,learning_rate,sequence_length,rnn_layers,hidden_size,dropout,forget_bias,gradient_norm_threshold,decay_rate,initializer,normalization,compute_time,optimizer,delta_zero,delta_max,delta_min,eta_plus,eta_minus,dense_units
basic_lstm_cell,sp500_close,sp500_close,231.3772,0.9465,0.9729,10.4845,15.2111,2008-07-01,2010-09-30,2010-10-01,2011-09-30,100,1,0.001,50,1,128,0.5,1,0.5,0.95,none,scaled_back,24.17308307,adam,,,,,,
basic_lstm_cell,sp500_close,sp500_close,232.1073,0.9463,0.9728,10.4417,15.2351,2008-07-01,2010-09-30,2010-10-01,2011-09-30,100,1,0.001,50,1,128,0.5,1,0.5,0.95,none,scaled_back,24.1400888,adam,,,,,,
basic_lstm_cell,sp500_close,sp500_close,456.4150,0.8944,0.9457,18.4560,21.3639,2008-07-01,2010-09-30,2010-10-01,2011-09-30,100,1,0.001,50,1,128,0.5,1,0.5,0.95,none,scaled_back,24.02248788,adam,,,,,,
basic_lstm_cell,sp500_close,sp500_close,229.8935,0.9468,0.9731,10.5678,15.1622,2008-07-01,2010-09-30,2010-10-01,2011-09-30,100,1,0.001,50,1,128,0.5,1,0.5,0.95,none,scaled_back,24.22854996,adam,,,,,,
basic_lstm_cell,sp500_close,sp500_close,242.0682,0.9440,0.9716,10.6069,15.5585,2008-07-01,2010-09-30,2010-10-01,2011-09-30,100,1,0.001,50,1,128,0.5,1,0.5,0.95,none,scaled_back,24.31886411,adam,,,,,,
basic_lstm_cell,sp500_close,sp500_close,198.7233,0.9645,0.9821,10.2955,14.0969,2009-07-01,2011-09-30,2011-10-01,2012-09-30,130,1,0.001,50,1,128,0.5,1,1,0.95,none,scaled_back,28.92712092,adam,,,,,,
basic_lstm_cell,sp500_close,sp500_close,198.3003,0.9646,0.9821,10.2783,14.0819,2009-07-01,2011-09-30,2011-10-01,2012-09-30,130,1,0.001,50,1,128,0.5,1,1,0.95,none,scaled_back,24.93685699,adam,,,,,,
basic_lstm_cell,sp500_close,sp500_close,198.1321,0.9646,0.9821,10.2506,14.0759,2009-07-01,2011-09-30,2011-10-01,2012-09-30,130,1,0.001,50,1,128,0.5,1,1,0.95,none,scaled_back,28.98728895,adam,,,,,,
basic_lstm_cell,sp500_close,sp500_close,217.5087,0.9612,0.9804,11.2115,14.7482,2009-07-01,2011-09-30,2011-10-01,2012-09-30,130,1,0.001,50,1,128,0.5,1,1,0.95,none,scaled_back,28.90279198,adam,,,,,,
basic_lstm_cell,sp500_close,sp500_close,203.6246,0.9636,0.9816,10.5777,14.2697,2009-07-01,2011-09-30,2011-10-01,2012-09-30,130,1,0.001,50,1,128,0.5,1,1,0.95,none,scaled_back,29.100842,adam,,,,,,
